quote_id,equipment_type,"GROUP_CONCAT(CONCAT(' ',e.equipment_name, ': ', t.value))",Make,Model
1309924,Sprayer,"Sprayer Make: John Deere, Sprayer Model: R4038, Year: 2021",John Deere,R4038
1309855,Sprayer,"Sprayer Make: 44440, Sprayer Model: case",44440,case
1309836,Sprayer,"Sprayer Make: New Holland , Sprayer Model: 275f",New Holland ,275f
1309829,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 68, Row Spacing: 7.5"", Air Seeder Model: 1895 Disc Drill, Number of Rock Shafts: 6",John Deere,1895 Disc Drill
1309811,Sprayer,"Sprayer Make: JD, Sprayer Model: R4038, Year: 2019",JD,R4038
1309770,Sprayer,"Sprayer Make: Deere, Sprayer Model: 4030, Year: 2015",Deere,4030
1309749,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4630, Year: 2014",John Deere,4630
1309521,Sprayer,"Sprayer Make: Hagie, Sprayer Model: STS12, Year: 12",Hagie,STS12
1309469,Sprayer,"Sprayer Make: Jd, Sprayer Model: 4038 100 ft, Year: 2019",Jd,4038 100 ft
1309406,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 24, Air Seeder Model: 1590 Drill",John Deere,1590 Drill
1309402,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 24, Row Spacing: 7.5"", Air Seeder Model: 1590 Drill",John Deere,1590 Drill
1309343,Sprayer,"Sprayer Make: CIH, Sprayer Model: 3330",CIH,3330
1309267,Sprayer,"Sprayer Make: Hagie, Sprayer Model: DTS10, Year: 2007",Hagie,DTS10
1309168,Sprayer,"Sprayer Make: rogator, Sprayer Model: 1064",rogator,1064
1309102,Sprayer,"Sprayer Make: Case IH, Sprayer Model: Patriot, Year: 2013 and 2014",Case IH,Patriot
1308769,Sprayer,"Sprayer Make: Johndeere, Sprayer Model: 412R",Johndeere,412R
1308720,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 64, Air Seeder Model: 1990",John Deere,1990
1308079,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 28, Row Spacing: 15"", Air Seeder Model: 1990, Number of Tanks: 1, Frame Type: 3 Section, Variable Rate Motor Brand: Precision Planting",John Deere,1990
